AirQualityStation,ndvi,ID,name
no0097a,0.01853667610263096,1,zander
hr0010a,-0.017395783227840498,2,zander
es1270a,-0.024826162044945095,3,zander
it1336a,0.01573908351588959,4,zander
it2087a,-0.027685053682135276,5,zander
230031100,-0.013432298784128369,6,zander
gb0926a,-0.013019727244578812,7,zander
deby033,0.02368576335020147,8,zander
es1697a,0.01609727760774475,9,zander
gb0644a,0.022005640923303843,10,zander
fr14028,0.024416207701932247,11,zander
ch0020a,0.0198980344987912,12,zander
es0120a,0.0176411288191109,13,zander
debw076,-0.00898560179599628,14,zander
121275002,0.017450558700993154,15,zander
fr15013,-0.014521788702406543,16,zander
at54057,0.015796302077134568,17,zander
ie0028a,-0.03889536606412375,18,zander
es1272a,-0.015060724279774207,19,zander
tr0114a,-0.020964177842085412,20,zander
nl00537,0.016844034386999083,21,zander
it2056a,0.018370362283904377,22,zander
deby053,0.01934742200315858,23,zander
bg0051a,0.01680396888441239,24,zander
it1646a,0.01618934647753268,25,zander
gb1014a,-0.029065123444847355,26,zander
fr41017,-0.010805309889576734,27,zander
denw053,-0.015604493540428283,28,zander
261630094,-0.013312367605659363,29,zander
gb0918a,0.017951009006304128,30,zander
it0775a,0.01687103745728429,31,zander
fi00801,-0.011544508363237586,32,zander
es1309a,-0.010787136537170174,33,zander
pl0072a,-0.00933494631797398,34,zander
betr821,0.017770614886683075,35,zander
cz0molj,0.02139886638184143,36,zander
es1231a,-0.011395657893771165,37,zander
tr0022a,-0.009566210937045634,38,zander
pl0089a,-0.009276674632300978,39,zander
fr05090,-0.017687370172561483,40,zander
fr05090,-0.017687370172561483,40,nuria
no0078a,0.017873045433981403,41,nuria
it1343a,0.0160012741814621,42,nuria
es1499a,0.017759773758985162,43,nuria
80310026,-0.012001564631236568,44,nuria
dehh021,0.01884525781244083,45,nuria
bg0076a,-0.010348308009512665,46,nuria
550790056,0.028993180005703296,47,nuria
es1244a,0.016515724573081723,48,nuria
171630900,0.018015872807650945,49,nuria
290950018,-0.009688991402701831,50,nuria
gb0840a,0.02123169156572121,51,nuria
80010006,-0.012542525395672542,52,nuria
denw095,0.018710530477106486,53,nuria
pl0519a,0.02150418564802494,54,nuria
demv007,0.01889438386841742,55,nuria
it0837a,0.020792715172497266,56,nuria
320310020,0.016511901452429634,57,nuria
betr820,0.025518020559906384,58,nuria
tr0035a,-0.01293678349231951,59,nuria
fr19015,0.016024568354238933,60,nuria
es1464a,0.023686115484483048,61,nuria
pl0046a,-0.01445932315994465,62,nuria
mk0043a,-0.037762997618158274,63,nuria
dehh047,0.015820178702307588,64,nuria
gb1046a,-0.014597983480798781,65,nuria
desl013,-0.01523916946823014,66,nuria
pl0559a,-0.009035898821849145,67,nuria
dest028,0.017365671664436283,68,nuria
es1271a,-0.021229433111883248,69,nuria
gr0010a,0.024068329189960134,70,nuria
