green,totEmission,surface_pressure,wind_abs,total_precipitation,relative_humidity,temperature_2m,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant
0.16218442598136695,0.001480870684819308,2001.2858059563973,0.5108216435754356,0.7857068648309204,3.796382149136513,1.9794418242175806,6,15,ConcentrationMean,ndvi,Forest mixed,NO2
0.1565106463273285,4.964862007304337e-4,2059.2968326496557,0.47987078621938095,0.7725193387309243,3.5921687895687873,2.059507473731549,6,15,ConcentrationMean,ndvi,Forest mixed,PM10
0.16323741962243787,3.236687502478556e-4,1750.1074259147836,0.514468054700846,0.732309037704412,4.229213441114708,2.0335748646980667,6,15,ConcentrationMean,ndvi,Forest mixed,PM25
0.1544391231310675,0.0011941855189856311,2162.3374343015175,0.49608419689957084,0.8326902937340708,3.9882899202129534,2.191044626002891,6,15,ConcentrationMean,ndvi,Forest mixed,O3
0.13750808189599942,0.0015685653204872481,3294.1905341055754,0.497798434711179,1.0311153887776359,10.468993949801913,2.2541073472397883,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,NO2
0.13993743264288155,6.705037824257837e-4,3927.618176272285,0.5084617560084175,1.0675769729039304,14.138310753805472,2.9043174200753503,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,PM10
0.15175224164116072,4.8003249016153286e-4,4309.764040178751,0.5230179622839185,1.058956919773268,13.508000699722603,2.978289488666306,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,PM25
0.1391233190064015,0.0013939101709226187,4407.977559252035,0.4987841652539064,0.9092255164585448,13.559889604717204,2.8413638274937094,6,15,ConcentrationMean,ndvi,Mediterranean forest/shrubland,O3
0.16050966565098873,6.453433589802008e-4,6016.884627146041,0.37723199425908677,1.2878717300692022,4.608599973592013,3.278248122204734,6,15,ConcentrationMean,ndvi,Forest coniferous,NO2
0.15958994224953751,4.1613948281729737e-4,6410.3983946506505,0.3954659062262029,1.320120007060724,6.050611532094645,3.2470821513873025,6,15,ConcentrationMean,ndvi,Forest coniferous,PM10
0.15735067229735825,2.5007350543809856e-4,4327.204188601117,0.42173652439190296,1.3795567167978116,5.214415081981976,3.141355859168242,6,15,ConcentrationMean,ndvi,Forest coniferous,PM25
0.15908348874090547,6.355016348656093e-4,6575.915068554176,0.397465206628237,1.2405719404173634,6.47783187708588,3.4756559153653384,6,15,ConcentrationMean,ndvi,Forest coniferous,O3
0.17375422872559207,0.0014774294845569798,3441.7396018937775,0.40863271013822955,1.1190460073640596,10.546811201992783,4.613113318293083,6,15,ConcentrationMean,ndvi,Savanna/grassland,NO2
0.1579401643876664,2.900058523995649e-4,5734.36028051521,0.31412443725316963,1.1328779416364152,10.845406026620708,6.289373417681716,6,15,ConcentrationMean,ndvi,Savanna/grassland,PM10
0.15843502951542235,1.7690914225887747e-4,4550.831625433496,0.2737813551559691,0.9804663337966156,8.550175184135213,4.879971458408557,6,15,ConcentrationMean,ndvi,Savanna/grassland,PM25
0.1668776093818696,0.0017384949870691336,4018.9412718415583,0.46460264681843033,1.0348348620160257,10.004142791945977,4.649166002164121,6,15,ConcentrationMean,ndvi,Savanna/grassland,O3
0.16218442598136695,0.001480870684819308,2001.2858059563973,0.5108216435754356,0.7857068648309204,3.796382149136513,1.9794418242175806,6,15,ConcentrationMax,ndvi,Forest mixed,NO2
0.1565106463273285,4.964862007304337e-4,2059.2968326496557,0.47987078621938095,0.7725193387309243,3.5921687895687873,2.059507473731549,6,15,ConcentrationMax,ndvi,Forest mixed,PM10
0.16323741962243787,3.236687502478556e-4,1750.1074259147836,0.514468054700846,0.732309037704412,4.229213441114708,2.0335748646980667,6,15,ConcentrationMax,ndvi,Forest mixed,PM25
0.1544391231310675,0.0011941855189856311,2162.3374343015175,0.49608419689957084,0.8326902937340708,3.9882899202129534,2.191044626002891,6,15,ConcentrationMax,ndvi,Forest mixed,O3
0.13750808189599942,0.0015685653204872481,3294.1905341055754,0.497798434711179,1.0311153887776359,10.468993949801913,2.2541073472397883,6,15,ConcentrationMax,ndvi,Mediterranean forest/shrubland,NO2
0.13993743264288155,6.705037824257837e-4,3927.618176272285,0.5084617560084175,1.0675769729039304,14.138310753805472,2.9043174200753503,6,15,ConcentrationMax,ndvi,Mediterranean forest/shrubland,PM10
0.15175224164116072,4.8003249016153286e-4,4309.764040178751,0.5230179622839185,1.058956919773268,13.508000699722603,2.978289488666306,6,15,ConcentrationMax,ndvi,Mediterranean forest/shrubland,PM25
0.1391233190064015,0.0013939101709226187,4407.977559252035,0.4987841652539064,0.9092255164585448,13.559889604717204,2.8413638274937094,6,15,ConcentrationMax,ndvi,Mediterranean forest/shrubland,O3
0.16050966565098873,6.453433589802008e-4,6016.884627146041,0.37723199425908677,1.2878717300692022,4.608599973592013,3.278248122204734,6,15,ConcentrationMax,ndvi,Forest coniferous,NO2
0.15958994224953751,4.1613948281729737e-4,6410.3983946506505,0.3954659062262029,1.320120007060724,6.050611532094645,3.2470821513873025,6,15,ConcentrationMax,ndvi,Forest coniferous,PM10
0.15735067229735825,2.5007350543809856e-4,4327.204188601117,0.42173652439190296,1.3795567167978116,5.214415081981976,3.141355859168242,6,15,ConcentrationMax,ndvi,Forest coniferous,PM25
0.15908348874090547,6.355016348656093e-4,6575.915068554176,0.397465206628237,1.2405719404173634,6.47783187708588,3.4756559153653384,6,15,ConcentrationMax,ndvi,Forest coniferous,O3
0.17375422872559207,0.0014774294845569798,3441.7396018937775,0.40863271013822955,1.1190460073640596,10.546811201992783,4.613113318293083,6,15,ConcentrationMax,ndvi,Savanna/grassland,NO2
