"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"ad0942a","Fixa",42.5096939994651,1.539138,1080,"andorra","AD","background","urban",2011-12-31 23:00:00,2022-06-14 01:00:00,"NET-AD001A","STA-AD0942A","AD0942A",543964,"aqer:e1a; aqer:e2a"
"ad0944a","Fixa oz",42.516943999465,1.56525,1637,"andorra","AD","background","rural",2011-12-31 23:00:00,2022-06-14 00:00:00,"NET-AD001A","STA-AD0944A","AD0944A",80519,"aqer:e1a; aqer:e2a"
"ad0945a","Estacional oz Envalira",42.534882999465,1.716986,2515,"andorra","AD","background","rural",2012-04-26 10:00:00,2022-06-14 00:00:00,"NET-AD001A","STA-AD0945A","AD0945A",33483,"aqer:e1a; aqer:e2a"
"al0201a","Tirana Center",41.3302689994674,19.821772,162,"albania","AL","traffic","urban",2011-01-01 00:00:00,2012-12-31 06:00:00,"NET-AL002A","STA-AL0201A","STA-AL0201A",145816,"airbase"
"al0202a","Tirana IPH",41.3455999994673,19.851667,207,"albania","AL","traffic","suburban",2011-01-01 00:00:00,2012-12-31 06:00:00,"NET-AL002A","STA-AL0202A","STA-AL0202A",119022,"airbase"
"al0203a","Korca",40.62593,20.78018,848,"albania","AL","background","suburban",2014-01-08 18:00:00,2019-04-13 11:00:00,"NET-AL001A","STA-AL0203A","AL0203A",230523,"aqer:e1a"
"al0204a","Vlora",40.40309,19.4862,25,"albania","AL","background","urban",2014-01-01 00:00:00,2019-10-02 02:00:00,"NET-AL001A","STA-AL0204A","AL0204A",223266,"aqer:e1a"
"al0205a","Durres",41.3199,19.4492,1,"albania","AL","traffic","urban",2014-03-31 15:00:00,2019-09-07 06:00:00,"NET-AL001A","STA-AL0205A","AL0205A",218062,"aqer:e1a"
"al0206a","Shkoder",42.3139,19.52342,13,"albania","AL","background","urban",2014-02-19 21:00:00,2019-07-25 08:00:00,"NET-AL001A","STA-AL0206A","AL0206A",179583,"aqer:e1a"
"al0207a","Elbasan",41.11098,20.0817,150,"albania","AL","traffic","urban",2014-04-09 12:00:00,2019-06-02 20:00:00,"NET-AL001A","STA-AL0207A","AL0207A",172141,"aqer:e1a"
"at0ach1","Achenkirch - Am Zenzfeld",47.503056,11.70028,463,"austria","AT","background","rural",1993-04-01 00:00:00,2003-09-17 15:00:00,NA,NA,NA,182042,"airbase"
"at0enk1","Enzenkirchen im Sauwald",48.391719999467,13.67114,525,"austria","AT","background","rural_regional",1998-06-03 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ENK1","AT0ENK1",1309223,"airbase; aqer:e1a; aqer:e2a"
"at0hbg1","Hochburg-Ach",48.148056,12.866947,463,"austria","AT","background","rural",1995-01-01 00:00:00,1998-05-26 12:00:00,NA,NA,NA,115184,"airbase"
"at0ill1","Illmitz am Neusiedler See",47.7702799994658,16.76639,117,"austria","AT","background","rural_regional",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ILL1","AT0ILL1",1744273,"airbase; aqer:e1a; aqer:e2a"
"at0ill2","Illmitz",47.7702799994658,16.76639,117,"austria","AT","background","rural_regional",2016-12-31 23:00:00,2019-12-31 22:00:00,"NET.10","STA.10.ILL2","AT0ILL2",23253,"aqer:e1a"
"at0klh1","Klöch bei Bad Radkersburg",46.7674999994643,15.956111,415,"austria","AT","background","rural_regional",2012-12-31 23:00:00,2022-06-13 17:00:00,"NET.10","STA.10.KLH1","AT0KLH1",287197,"aqer:e1a; aqer:e2a"
"at0pil1","Pillersdorf bei Retz",48.7211111094678,15.94222222,315,"austria","AT","background","rural_regional",1992-02-27 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.PIL1","AT0PIL1",1393702,"airbase; aqer:e1a; aqer:e2a"
"at0sig1","St. Sigmund im Sellrain - Gleirschalm",47.189167,11.099736,1666,"austria","AT","background","rural",1999-10-05 00:00:00,2008-10-22 15:00:00,NA,NA,NA,476459,"airbase"
"at0son1","Sonnblick",47.0541666994646,12.957777778,3106,"austria","AT","background","rural_remote",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.SON1","AT0SON1",878376,"airbase; aqer:e1a; aqer:e2a"
"at0sto1","Stolzalpe bei Murau",47.129166,14.203892,1302,"austria","AT","background","rural",1992-01-01 00:00:00,2006-04-25 13:00:00,NA,NA,NA,571343,"airbase"
"at0vor1","Vorhegg bei Kötschach-Mauthen",46.6786111105753,12.9744444444444,1010,"austria","AT","background","rural_regional",1991-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.VOR1","AT0VOR1",1850102,"airbase; aqer:e1a; aqer:e2a"
"at0zil1","Ried im Zillertal",47.306667,11.863889,555,"austria","AT","background","rural",2009-01-01 00:00:00,2011-12-31 23:00:00,NA,NA,NA,134541,"airbase"
"at0zoe2","Zöbelboden im Reichraminger Hintergebirge - Wildwiese",47.8386110994659,14.441388889,899,"austria","AT","background","rural_remote",1996-01-01 00:00:00,2022-06-13 17:00:00,"NET.10","STA.10.ZOE2","AT0ZOE2",1319940,"airbase; aqer:e1a; aqer:e2a"
"at10001","Eisenstadt Laschoberstraße",47.8401137994659,16.52617,165,"austria","AT","background","suburban",1994-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0001","AT10001",1610865,"airbase; aqer:e1a; aqer:e2a"
"at10002","Oberschützen",47.339925999465,16.207863,344,"austria","AT","background","rural",1994-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0002","AT10002",1131045,"airbase; aqer:e1a; aqer:e2a"
"at10003","Kittsee",48.1091531994664,17.0703159,136,"austria","AT","background","suburban",2000-01-01 00:00:00,2022-06-13 17:00:00,"NET.01","STA.01.0003","AT10003",1099831,"airbase; aqer:e1a; aqer:e2a"
"at10007","Mannersdorf an der Rabnitz",47.4652777774653,16.6472222222,205,"austria","AT","background","rural",2011-04-07 00:00:00,2012-12-31 23:00:00,"NET.01","STA.01.0007","AT10007",30425,"airbase"
"at10008",NA,48.0009719994662,16.862967,180,"austria","AT","background","rural",NA,NA,"NET.01","STA.01.0008","AT10008",NA,"aqer:e1a"
"at10035","Jennersdorf Schule",46.9420359994645,16.148272,240,"austria","AT","background","suburban",2016-04-19 11:00:00,2018-07-04 22:00:00,"NET.01","STA.01.0035","AT10035",53435,"aqer:e1a"
"at11002","Oberwart Brunnenfeld",47.304165,16.193054,330,"austria","AT","background","rural",1993-07-01 00:00:00,2008-10-21 00:00:00,NA,NA,NA,576434,"airbase"
"at11007","Lutzmannsburg",47.4652777774653,16.6472222222,205,"austria","AT","background","rural",2016-11-21 14:00:00,2018-09-02 22:00:00,"NET.01","STA.01.1007","AT11007",28950,"aqer:e1a"
"at20444","Arnoldstein Kugi",46.554199999464,13.70153,570,"austria","AT","industrial","rural",2001-01-01 00:00:00,2019-11-30 23:00:00,"NET.02","STA.02.444","AT20444",8553,"airbase; aqer:e1a"
"at2aut1","Rennweg A10",47.026944,13.603889,1160,"austria","AT","traffic","rural",2003-01-01 00:00:00,2011-12-31 23:00:00,NA,NA,NA,346392,"airbase"
"at2f101","Soboth Forsthaus",46.675556,15.046123,1080,"austria","AT","background","rural",2001-01-01 00:00:00,2009-12-31 23:00:00,NA,NA,NA,462098,"airbase"
"at2f103","Klagenfurt A2 Nordumfahrung 2",46.6528499994641,14.26625,455,"austria","AT","traffic","suburban",2016-12-31 23:00:00,2022-05-24 07:00:00,"NET.02","STA.02.F103","AT2F103",44471,"aqer:e1a; aqer:e2a"
"at2f202","Klein St. Paul - Pemberg",46.8428299994644,14.52998,810,"austria","AT","industrial","rural",1996-01-02 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.F202","AT2F202",1295760,"airbase; aqer:e1a; aqer:e2a"
"at2fe13","Feldkirchen Milesistrasse",46.727501,14.090838,550,"austria","AT","traffic","rural",1996-01-01 00:00:00,1998-12-31 23:00:00,NA,NA,NA,134713,"airbase"
"at2he19","Hermagor Gailtalstrasse",46.624722,13.373061,600,"austria","AT","traffic","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,311746,"airbase"
"at2ka11","Klagenfurt Koschatstrasse",46.626111,14.298347,440,"austria","AT","traffic","urban",1991-01-01 00:00:00,2010-12-31 23:00:00,NA,NA,NA,1396252,"airbase"
"at2ka21","Klagenfurt Völkermarkter Straße",46.6255599994641,14.31806,445,"austria","AT","traffic","urban",1994-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA21","AT2KA21",1266774,"airbase; aqer:e1a; aqer:e2a"
"at2ka41","Klagenfurt Kreuzbergl",46.6293599994641,14.28931,550,"austria","AT","background","suburban",1991-06-03 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA41","AT2KA41",456913,"airbase; aqer:e1a; aqer:e2a"
"at2ka61","Klagenfurt A2 Nordumfahrung",46.6524999994641,14.2661111111111,455,"austria","AT","traffic","suburban",2008-05-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA61","AT2KA61",223889,"airbase; aqer:e1a; aqer:e2a"
"at2ka71","Klagenfurt Sterneckstraße",46.6266166661308,14.2991444444444,445,"austria","AT","background","urban",2011-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.KA71","AT2KA71",622053,"airbase; aqer:e1a; aqer:e2a"
"at2kl17","Ferlach",46.529167,14.301683,460,"austria","AT","background","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,291921,"airbase"
"at2m121","Arnoldstein Gailitz Waldsiedlungsstraße",46.558899999464,13.705,574,"austria","AT","industrial","rural",2001-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.M121","AT2M121",1085349,"airbase; aqer:e1a; aqer:e2a"
"at2m226","Ebenthal Zell",46.6102777772418,14.3983333333333,420,"austria","AT","background","rural",2007-01-02 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.M226","AT2M226",254552,"airbase; aqer:e1a; aqer:e2a"
"at2m611","St. Veit an der Glan - Glandorf",46.7605555554642,14.379444444,470,"austria","AT","background","suburban",2019-12-11 10:00:00,2021-04-21 09:00:00,"NET.02","STA.02.M611","AT2M611",8923,"aqer:e1a; aqer:e2a"
"at2sp10","Obervellach Schulzentrum",46.9349999994645,13.194533,686,"austria","AT","background","rural",1991-08-20 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.SP10","AT2SP10",1787714,"airbase; aqer:e1a; aqer:e2a"
"at2sp18","Spittal a. d. Drau Oktoberstraße",46.8013888883532,13.4938888888889,560,"austria","AT","background","urban",1991-08-22 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.SP18","AT2SP18",1493881,"airbase; aqer:e1a; aqer:e2a"
"at2sp20","Oberdrauburg Bundesstrasse",46.748055,12.972783,612,"austria","AT","traffic","rural",1992-03-28 00:00:00,2011-12-31 23:00:00,NA,NA,NA,492253,"airbase"
"at2sv14","St. Veit a.d.Glan Oktoberplatz",46.765835,14.355003,475,"austria","AT","traffic","urban",1991-01-21 00:00:00,2007-12-31 23:00:00,NA,NA,NA,653299,"airbase"
"at2sv24","St. Veit a. d. Glan Hauptbahnhof",46.7711109994643,14.3658333333333,480,"austria","AT","background","suburban",2008-03-20 00:00:00,2016-12-31 23:00:00,"NET.02","STA.02.SV24","AT2SV24",165384,"airbase; aqer:e1a"
"at2trei","Treibach Werksküche",46.8633333327977,14.4583333333333,605,"austria","AT","industrial","rural_regional",2007-01-21 00:00:00,2019-11-30 23:00:00,"NET.02","STA.02.TREI","AT2TREI",2008,"airbase; aqer:e1a"
"at2vi12","Villach Tirolerbrücke",46.6124999994641,13.841389,490,"austria","AT","traffic","urban",1991-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.VI12","AT2VI12",1676629,"airbase; aqer:e1a; aqer:e2a"
"at2vk01","Völkermarkt Spielplatz",46.6628194439086,14.6322805555556,460,"austria","AT","background","suburban",2015-12-31 23:00:00,2018-10-31 23:00:00,"NET.02","STA.02.VK01","AT2VK01",23,"aqer:e1a"
"at2vk16","Völkermarkt Umfahrungsstrasse",46.663891,14.63307,460,"austria","AT","traffic","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,336250,"airbase"
"at2vk26","Bleiburg Koschatstrasse Schule",46.585556,14.795011,480,"austria","AT","background","rural",1991-10-20 00:00:00,2011-12-31 23:00:00,NA,NA,NA,689150,"airbase"
"at2vl12","Fürnitz Bahnhofstrasse",46.563889,13.811122,515,"austria","AT","industrial","rural",1993-01-01 00:00:00,2000-12-31 23:00:00,NA,NA,NA,311303,"airbase"
"at2vl22","Arnoldstein Waldsiedlung",46.55722,13.7089,580,"austria","AT","industrial","rural",1994-05-01 00:00:00,2009-12-31 00:00:00,NA,NA,NA,133756,"airbase"
"at2vl52","Gerlitzen Steinturm",46.6953999994642,13.91449,1897,"austria","AT","background","rural_remote",1991-06-03 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.VL52","AT2VL52",450283,"airbase; aqer:e1a; aqer:e2a"
"at2vl62","Arnoldstein Hohenthurn",46.558056,13.666947,670,"austria","AT","industrial","rural",1994-06-01 00:00:00,2009-12-31 00:00:00,NA,NA,NA,134212,"airbase"
"at2wo15","Wolfsberg Hauptschule",46.8349999994643,14.8436111111111,460,"austria","AT","industrial","urban",1991-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.WO15","AT2WO15",2188821,"airbase; aqer:e1a; aqer:e2a"
"at2wo25","St. Andrä i. L. Volksschule",46.7638889994642,14.8222222,430,"austria","AT","background","suburban",1990-10-15 00:00:00,2020-02-12 07:00:00,"NET.02","STA.02.WO25","AT2WO25",1023460,"airbase; aqer:e1a; aqer:e2a"
"at2wo35","St. Georgen im Lavanttal - Herzogberg",46.7083329994642,14.891667,540,"austria","AT","background","rural",1991-01-01 00:00:00,2022-05-24 07:00:00,"NET.02","STA.02.WO35","AT2WO35",1554165,"airbase; aqer:e1a; aqer:e2a"
"at30033","Litschau",48.9559999994684,15.039,560,"austria","AT","background","rural_regional",2017-12-31 23:00:00,2018-10-31 23:00:00,"NET.03","STA.03.33","AT30033",11,"aqer:e1a"
"at30065","Purkersdorf,Tullnerbachstraße",48.1958349994666,16.143612,260,"austria","AT","background","suburban",2003-06-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0065","AT30065",720068,"airbase; aqer:e1a; aqer:e2a"
"at30101","Amstetten",48.1202777794665,14.878333,270,"austria","AT","background","urban",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0101","AT30101",1247479,"airbase; aqer:e1a; aqer:e2a"
"at30102","St. Valentin Stein",48.226665,14.562789,242,"austria","AT","background","rural",1990-01-01 00:00:00,2005-12-21 21:00:00,NA,NA,NA,662505,"airbase"
"at30103","Kollmitzberg",48.1797222194666,14.86666667,465,"austria","AT","background","rural",1988-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0103","AT30103",1185009,"airbase; aqer:e1a; aqer:e2a"
"at30104","St. Valentin,Westautobahn",48.1922299994666,14.51954,265,"austria","AT","traffic","rural",2006-01-04 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0104","AT30104",621561,"airbase; aqer:e1a; aqer:e2a"
"at30201","Bad Vöslau,Gainfarn",47.9592499994661,16.2057,265,"austria","AT","background","suburban",1993-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0201","AT30201",1283374,"airbase; aqer:e1a; aqer:e2a"
"at30202","Forsthof am Schöpfl",48.1061110994664,15.919444444,581,"austria","AT","background","rural_regional",1988-02-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0202","AT30202",1521434,"airbase; aqer:e1a; aqer:e2a"
"at30301","Hainburg Krankenhaus",48.1441999994665,16.95787,180,"austria","AT","background","suburban",1988-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0301","AT30301",1696617,"airbase; aqer:e1a; aqer:e2a"
"at30302","Stixneusiedl",48.0502779994663,16.675278,235,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0302","AT30302",1638412,"airbase; aqer:e1a; aqer:e2a"
"at30401","Gänserndorf Baumschulweg",48.3347199994669,16.729445,161,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0401","AT30401",1603160,"airbase; aqer:e1a; aqer:e2a"
"at30402","Deutsch Wagram",48.298332,16.559174,160,"austria","AT","background","rural",1993-03-26 00:00:00,2002-06-27 11:00:00,NA,NA,NA,267461,"airbase"
"at30403","Wolkersdorf",48.3922222194671,16.522666622,260,"austria","AT","background","rural",1989-03-09 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0403","AT30403",1367338,"airbase; aqer:e1a; aqer:e2a"
"at30406","Großenzersdorf Friedhof",48.195,16.55056,155,"austria","AT","background","rural",1990-02-03 00:00:00,2004-05-10 07:00:00,NA,NA,NA,371699,"airbase"
"at30407","Glinzendorf im Marchfeld",48.2308333324667,16.63638889,150,"austria","AT","background","rural",2004-06-25 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0407","AT30407",639267,"airbase; aqer:e1a; aqer:e2a"
"at30502","Heidenreichstein Thaures",48.8786110994682,15.04666667,570,"austria","AT","background","rural_regional",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0502","AT30502",1628212,"airbase; aqer:e1a; aqer:e2a"
"at30599","Klosterneuburg Bahnhof Klosterneuburg-Kierling",48.3082222194669,16.3279444,170,"austria","AT","traffic","suburban",2006-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0599","AT30599",370727,"airbase; aqer:e1a; aqer:e2a"
"at30601","Klosterneuburg Wisentgasse (Friedhof)",48.3024599994669,16.31395,260,"austria","AT","background","suburban",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0601","AT30601",1493369,"airbase; aqer:e1a; aqer:e2a"
"at30602","Fischamend",48.109444,16.627232,179,"austria","AT","background","rural",1990-01-01 00:00:00,2002-09-05 07:00:00,NA,NA,NA,310546,"airbase"
"at30603","Himberg,Alter Markt",48.0856999994664,16.4311,172,"austria","AT","background","suburban",1993-02-13 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0603","AT30603",716351,"airbase; aqer:e1a; aqer:e2a"
"at30701","Ziersdorf",48.5288888883562,15.9427777777778,230,"austria","AT","background","rural_regional",2004-06-11 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0701","AT30701",342926,"airbase; aqer:e1a; aqer:e2a"
"at30801","Irnfritz - Rothweinsdorf",48.7242099994678,15.49842,556,"austria","AT","background","rural_regional",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0801","AT30801",727448,"airbase; aqer:e1a; aqer:e2a"
"at30901","Korneuburg",48.349998,16.334723,170,"austria","AT","background","urban",1990-01-01 00:00:00,2002-06-14 07:00:00,NA,NA,NA,441513,"airbase"
"at30902","Stockerau,Rudolf Diesel-Straße",48.385276999467,16.182222,175,"austria","AT","traffic","suburban",2005-10-17 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.0902","AT30902",531560,"airbase; aqer:e1a; aqer:e2a"
"at30903","Langenzersdorf",48.303055,16.361389,160,"austria","AT","background","rural",1993-03-26 00:00:00,2001-12-31 23:00:00,NA,NA,NA,404339,"airbase"
"at30992","Stockerau Schulweg",48.388889,16.212223,170,"austria","AT","background","suburban",1990-01-01 00:00:00,2005-10-31 00:00:00,NA,NA,NA,723848,"airbase"
"at31102","Annaberg,Joachimsberg",47.861944439466,15.32194444,880,"austria","AT","background","rural_regional",1991-03-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1102","AT31102",464397,"airbase; aqer:e1a; aqer:e2a"
"at31204","Pöchlarn",48.2133333327967,15.197222222222,216,"austria","AT","background","rural",1999-05-05 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1204","AT31204",875555,"airbase; aqer:e1a; aqer:e2a"
"at31301","Mistelbach Steinhübel",48.5786109994675,16.580556,250,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1301","AT31301",901441,"airbase; aqer:e1a; aqer:e2a"
"at31401","Mödling Bachgasse",48.0861110994664,16.3022222,215,"austria","AT","background","suburban",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1401","AT31401",2059013,"airbase; aqer:e1a; aqer:e2a"
"at31402","Vösendorf Kindbergstraße",48.1249999994665,16.331388,194,"austria","AT","traffic","suburban",1991-06-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1402","AT31402",1311363,"airbase; aqer:e1a; aqer:e2a"
"at31403","Brunn am Gebirge",48.110832,16.283333,288,"austria","AT","background","suburban",1993-03-29 00:00:00,2005-12-31 00:00:00,NA,NA,NA,537626,"airbase"
"at31406","Biedermannsdorf Mühlengasse",48.0833333327997,16.3372222222222,188,"austria","AT","traffic","suburban",2007-03-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1406","AT31406",341680,"airbase; aqer:e1a; aqer:e2a"
"at31413","Wiener Neudorf Hauptstraße",48.0842999994664,16.329,210,"austria","AT","background","suburban",2008-06-04 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1413","AT31413",399730,"airbase; aqer:e1a; aqer:e2a"
"at31496","Biedermannsdorf Sportplatz",48.081112,16.348612,180,"austria","AT","background","rural",1996-06-01 00:00:00,2005-01-01 00:00:00,NA,NA,NA,400447,"airbase"
"at31501","Ternitz,Grabengasse",47.716667,16.044456,380,"austria","AT","background","urban",1990-01-01 00:00:00,2011-09-19 14:00:00,NA,NA,NA,651374,"airbase"
"at31502","Payerbach - Kreuzberg",47.6702777794656,15.860277778,890,"austria","AT","background","rural",1993-06-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1502","AT31502",1300965,"airbase; aqer:e1a; aqer:e2a"
"at31701","Dunkelsteinerwald - Unterbergern",48.370277999467,15.54583333,320,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1701","AT31701",1479241,"airbase; aqer:e1a; aqer:e2a"
"at31703","Traismauer",48.353333329467,15.74694444,190,"austria","AT","background","suburban",1990-01-01 00:00:00,2020-12-30 17:00:00,"NET.03","STA.03.1703","AT31703",1028760,"airbase; aqer:e1a; aqer:e2a"
"at31901","Tulln Leopoldgasse",48.3294449994669,16.0625,178,"austria","AT","background","suburban",2007-06-05 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1901","AT31901",714247,"airbase; aqer:e1a; aqer:e2a"
"at31902","Zwentendorf im Tullnerfeld",48.331111110578,15.9036111111111,200,"austria","AT","industrial","rural",1983-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.1902","AT31902",1097153,"airbase; aqer:e1a; aqer:e2a"
"at31903","Trasdorf im Tullnerfeld",48.331667,15.859731,192,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,NA,NA,NA,811299,"airbase; aqer:e2a"
"at31904","Streithofen im Tullnerfeld",48.2763888883668,15.935,220,"austria","AT","background","rural",1983-01-01 01:00:00,2020-12-04 08:00:00,"NET.03","STA.03.1904","AT31904",1708619,"airbase; aqer:e1a; aqer:e2a"
"at31905","Neusiedl im Tullnerfeld",48.322222,15.966667,182,"austria","AT","background","rural",1990-01-01 00:00:00,2022-06-13 17:00:00,NA,NA,NA,876707,"airbase; aqer:e2a"
"at31906","Tulbinger Kogel",48.282222,16.148625,495,"austria","AT","background","rural",1990-01-01 00:00:00,2011-12-31 23:00:00,NA,NA,NA,728262,"airbase"
"at31991","Tulln Wilhelmstraße",48.329998,16.057222,190,"austria","AT","industrial","urban",1990-01-01 00:00:00,2007-06-27 23:00:00,NA,NA,NA,148276,"airbase"
"at32101","Wiesmath",47.6083333294655,16.29305556,738,"austria","AT","background","rural_regional",1993-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2101","AT32101",429698,"airbase; aqer:e1a; aqer:e2a"
"at32201","Großgöttfritz",48.530834,15.166667,710,"austria","AT","background","rural",1993-01-01 00:00:00,2000-11-23 14:00:00,NA,NA,NA,242657,"airbase"
"at32301","St. Pölten Eybnerstraße",48.2115999994667,15.6325,270,"austria","AT","background","urban",1990-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2301","AT32301",1765709,"airbase; aqer:e1a; aqer:e2a"
"at32302","St. Pölten Europaplatz HTL",48.2012999994666,15.6204,271,"austria","AT","traffic","urban",2003-04-09 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2302","AT32302",703732,"airbase; aqer:e1a; aqer:e2a"
"at32391","St. Pölten Landhaus",48.201389,15.633056,265,"austria","AT","industrial","suburban",1990-01-01 00:00:00,1992-10-22 01:00:00,NA,NA,NA,69895,"airbase"
"at32401","Wiener Neustadt",47.8141666694659,16.255,265,"austria","AT","background","suburban",1989-04-13 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2401","AT32401",1531016,"airbase; aqer:e1a; aqer:e2a"
"at32501","Krems",48.4086099994671,15.619166,200,"austria","AT","background","suburban",1986-05-22 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2501","AT32501",1669557,"airbase; aqer:e1a; aqer:e2a"
"at32603","Waidhofen an der Ybbs",47.961391,14.787226,460,"austria","AT","background","suburban",1999-01-01 00:00:00,2008-12-31 07:00:00,NA,NA,NA,462084,"airbase"
"at32604","Kematen an der Ybbs",48.0451111105774,14.7722777777778,330,"austria","AT","background","rural",2010-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2604","AT32604",472367,"airbase; aqer:e1a; aqer:e2a"
"at32701","Schwechat Sportplatz,Mühlgasse",48.1449999994665,16.4744444444444,155,"austria","AT","background","suburban",1986-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2701","AT32701",2068529,"airbase; aqer:e1a; aqer:e2a"
"at32702","Mannswörth bei Schwechat,Danubiastraße/A4",48.1449999994665,16.51111,159,"austria","AT","traffic","suburban",2008-01-01 00:00:00,2022-06-13 17:00:00,"NET.03","STA.03.2702","AT32702",241376,"airbase; aqer:e1a; aqer:e2a"
"at32792","Mannswörth Freizeitgelände",48.145557,16.523611,155,"austria","AT","industrial","suburban",1990-01-01 00:00:00,2006-10-11 00:00:00,NA,NA,NA,455320,"airbase"
"at3baer","Bärnkopf",48.390997,15.003116,968,"austria","AT","background","rural",2019-02-28 23:00:00,2019-11-30 23:00:00,"NET.03","STA.03.BAER","AT3BAER",10,"aqer:e1a"
"at3reir","Reichenau an der Rax",47.699409,15.822389,484,"austria","AT","background","rural",2019-01-31 23:00:00,2019-11-30 23:00:00,"NET.03","STA.03.REIR","AT3REIR",11,"aqer:e1a"
"at4ansf","Ansfelden Gendamerieplatz",48.1984109994666,14.247072,280,"austria","AT","traffic","suburban",2013-12-16 23:00:00,2019-11-26 23:00:00,"NET.04","STA.04.ANSF","AT4ANSF",69,"aqer:e1a"
"at4bern","Linz Bernaschekplatz",48.3108333328002,14.2811111111111,260,"austria","AT","traffic","urban",2003-01-01 00:00:00,2019-11-26 23:00:00,"NET.04","STA.04.BERN","AT4BERN",111,"airbase; aqer:e1a"
"at4lhbf","Linz HBf. Bahnhofsplatz - Bahnhofspinne",48.2910799994668,14.289505,270,"austria","AT","traffic","urban",2013-12-30 23:00:00,2019-11-26 23:00:00,"NET.04","STA.04.LHBF","AT4LHBF",69,"aqer:e1a"
"at4s108","Grünbach bei Freistadt",48.5311111094674,14.574722222222,918,"austria","AT","background","rural_regional",1996-01-01 00:00:00,2022-06-13 17:00:00,"NET.04","STA.04.S108","AT4S108",1438585,"airbase; aqer:e1a; aqer:e2a"
