"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"rs0004a","Belgrade-Vracar",44.8,20.466125,132,"serbia","RS","background","urban",2003-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,8648,"airbase"
"rs0005a","Belgrade-Carli Caplina",44.816667,20.483333,108,"serbia","RS","background","urban",2003-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,8662,"airbase"
"rs0005r","Kamenicki vis",43.404011,21.947746,804,"serbia","RS","background","rural",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0005R","RS0005R",360499,"airbase; aqer:e1a; aqer:e2a"
"rs0006a","Belgrade-Ohridska",44.79972,20.46835,131,"serbia","RS","background","urban",2003-02-01 00:00:00,2007-10-29 09:00:00,NA,NA,NA,146611,"airbase"
"rs0007a","Belgrade-Omladinskih brigada",44.8061,20.3975,90,"serbia","RS","background","urban",2003-02-01 00:00:00,2014-12-30 23:00:00,"NET-RS003A","STA-RS0007A","RS0007A",348052,"airbase; aqer:e1a"
"rs0008a","Belgrade-Bulevar Despota Stefana 54a",44.816,20.47,110,"serbia","RS","background","urban",2003-05-14 00:00:00,2014-12-30 23:00:00,"NET-RS003A","STA-RS0008A","RS0008A",512315,"airbase; aqer:e1a"
"rs0009a","Bor-Gradski park",44.075787,22.099509,377,"serbia","RS","background","urban",2004-01-01 00:00:00,2019-12-31 22:00:00,"NET-RS002A","STA-RS0009A","RS0009A",45415,"airbase; aqer:e1a"
"rs0010a","Krusevac-RHMZ",43.566667,21.35,166,"serbia","RS","background","suburban",2004-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,7375,"airbase"
"rs0011a","Smederevska Palanka-RHMZ",44.366667,20.95,121,"serbia","RS","background","suburban",2004-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,7440,"airbase"
"rs0012a","Valjevo-RHMZ",44.273017,19.898983,174,"serbia","RS","background","urban",2004-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,7404,"airbase"
"rs0013a","Vranje-RHMZ",42.533333,21.920003,498,"serbia","RS","background","suburban",2004-01-01 00:00:00,2010-12-31 00:00:00,NA,NA,NA,7466,"airbase"
"rs0014a","Novi Sad 2",45.272222,19.873617,80,"serbia","RS","industrial","suburban",2004-01-01 00:00:00,2015-12-30 23:00:00,"NET-RS001A","STA-RS0014A","RS0014A",7008,"airbase; aqer:e1a"
"rs0015a","Sombor 1",45.762501,19.124451,80,"serbia","RS","traffic","urban",2004-04-08 00:00:00,2006-11-24 00:00:00,NA,NA,NA,2572,"airbase"
"rs0017a","Zrenjanin 1",45.381943,20.37167,75,"serbia","RS","traffic","urban",2004-01-02 00:00:00,2010-12-31 00:00:00,NA,NA,NA,6462,"airbase"
"rs0018a","Zrenjanin 2",45.362499,20.408619,75,"serbia","RS","industrial","urban",2004-01-02 00:00:00,2008-10-15 00:00:00,NA,NA,NA,3776,"airbase"
"rs0019a","Kikinda 1",45.834442,20.473063,81,"serbia","RS","background","urban",2004-01-01 00:00:00,2010-11-30 00:00:00,NA,NA,NA,7079,"airbase"
